"Attacked","Availability","Confidentiality","Integrity","tick"
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,45.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,46.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,47.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,48.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,49.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,50.0
1.0,0.8888888888888887,0.8518518518518516,0.962962962962963,51.0
1.0,0.8888888888888887,0.8518518518518516,0.962962962962963,52.0
1.0,0.8888888888888887,0.8518518518518516,0.962962962962963,53.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,54.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,55.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,56.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,57.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,58.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,59.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,60.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,61.0
1.0,0.8888888888888887,0.8148148148148147,0.962962962962963,62.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,63.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,64.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,65.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,66.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,67.0
1.0,0.8518518518518517,0.8148148148148147,0.962962962962963,68.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,69.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,70.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,71.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,72.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,73.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,74.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,75.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,76.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,77.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,78.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,79.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,80.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,81.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,82.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,83.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,84.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,85.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,86.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,87.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,88.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,89.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,90.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,91.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,92.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,93.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,94.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,95.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,96.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,97.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,98.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,99.0
1.0,0.8518518518518517,0.8148148148148147,0.9259259259259258,100.0
1.0,0.8888888888888886,0.8148148148148147,0.9259259259259258,101.0
1.0,0.8888888888888886,0.8148148148148147,0.9259259259259258,102.0
1.0,0.8888888888888886,0.8148148148148147,0.9259259259259258,103.0
1.0,0.8888888888888886,0.8148148148148147,0.9259259259259258,104.0
